,Chemical,Url,Dates,Uses
443,Ethyl Dipropylthiocarbamate,https://oehha.ca.gov/chemicals/ethyl-dipropylthiocarbamate,['04/27/1999'],Herbicide
444,Ethyl Methanesulfonate,https://oehha.ca.gov/chemicals/ethyl-methanesulfonate,['01/01/1988'],"Analytic medicine (genetic screens, other assays)"
445,Ethyl-4-4'-dichlorobenzilate,https://oehha.ca.gov/chemicals/ethyl-4-4-dichlorobenzilate,['01/01/1990'],Insecticide; not registered for use in US since 1999
446,"2,4-D 2-Ethyl-4-Methylpentyl Ester",https://oehha.ca.gov/chemicals/24-d-2-ethyl-4-methylpentyl-ester,[],Pesticide
447,Ethyl-tert-butyl ether,https://oehha.ca.gov/chemicals/ethyl-tert-butyl-ether,['12/18/2009'],"Used as an oxygenate gasoline fuel additive
 "
448,Ethylbenzene,https://oehha.ca.gov/chemicals/ethylbenzene,['06/11/2004'],"Styrene, synthetic rubber, airplane fuel); component of tobacco smoke"
449,Ethylene Glycol,https://oehha.ca.gov/chemicals/ethylene-glycol,['06/19/2015'],"Antifreeze agent, solvent; production of polyester fibers, PET for bottling; component in ink"
450,Ethylene Glycol Monobutyl Ether,https://oehha.ca.gov/chemicals/ethylene-glycol-monobutyl-ether,[],"Solvent; component of cleaning products, cosmetics, lacquers, latex paint, firefighting foam, hydraulic fluid"
451,Ethylene Glycol Monoethyl Ether,https://oehha.ca.gov/chemicals/ethylene-glycol-monoethyl-ether,"['01/01/1989', '01/01/1989']","Solvent for nitrocellulose, dyes, resins, and coatings; component of hydraulic fluid; anti-icing fuel additive in aviation"
452,Ethylene Glycol Monoethyl Ether Acetate,https://oehha.ca.gov/chemicals/ethylene-glycol-monoethyl-ether-acetate,"['01/01/1993', '01/01/1993']","Solvent for cellulose, resins, and coating applications"
453,Ethylene Glycol Monomethyl Ether,https://oehha.ca.gov/chemicals/ethylene-glycol-monomethyl-ether,"['01/01/1989', '01/01/1989']","Solvent for dyes, varnishes, and resins; antifreezing agent; chemical synthesis"
454,Ethylene Glycol Monomethyl Ether Acetate,https://oehha.ca.gov/chemicals/ethylene-glycol-monomethyl-ether-acetate,"['01/01/1993', '01/01/1993']","Solvent for gums, resins, waxes, and oils; manufacture of semiconductors; textile printing, photographic films"
455,Ethylene Oxide,https://oehha.ca.gov/chemicals/ethylene-oxide,"['07/01/1987', '08/07/2009', '08/07/2009', '02/27/1987']","Agricultural product fumigant, disinfectant (hospital equipment), thermobaric weapons; organic chemical synthesis (ethylene glycol and higher glycols), production of detergents, solvents, plastics, adhesives, antifreeze, pharmaceuticals; component of tobacco smoke"
456,Ethylene Thiourea,https://oehha.ca.gov/chemicals/ethylene-thiourea,"['01/01/1988', '01/01/1993']",Accelerator for vulcanizing polychloroprene (Neoprene) and in the manufacture of certain pesticides; component of tobacco smoke
457,Ethyleneimine,https://oehha.ca.gov/chemicals/ethyleneimine,['01/01/1988'],"Chemical intermediate and monomer in preparation of cationic polymers used in paper, fuel and lubricant refining, protective coatings, textile finishing, polymer stabilizers, and surfactants"
458,2-Ethylhexanoic acid,https://oehha.ca.gov/chemicals/2-ethylhexanoic-acid,['08/07/2009'],"Used as a chemical intermediate and for manufacture of resins used for baking enamels, lubricants, detergents, flotation aids, and corrosion inhibitors; also used as a catalyst for polyurethane foaming, for solvent extraction, and for dye granulation"
459,"2,4-D 2-Ethylhexyl Ester",https://oehha.ca.gov/chemicals/24-d-2-ethylhexyl-ester,[],Pesticide
460,Etodolac,https://oehha.ca.gov/chemicals/etodolac,"['08/20/1999', '08/20/1999']",Medicine (NSAID)
461,Etoposide,https://oehha.ca.gov/chemicals/etoposide,"['11/04/2011', '07/01/1990']","Medicine (chemotherapeutic, conditioning regimen prior to transplants)"
462,Etoposide in combination with cisplatin and bleomycin,https://oehha.ca.gov/chemicals/etoposide-combination-cisplatin-and-bleomycin,['11/04/2011'],[]
463,Etretinate,https://oehha.ca.gov/chemicals/etretinate,['07/01/1987'],"Former medicine (treatment for psoriasis), discontinued in the US in 1998."
464,Famciclovir,https://oehha.ca.gov/chemicals/famciclovir,[],"Medication, used in the treatment of herpes simplex virus (HSV), varcilla zoster virus (VZV), and cytomegalovirus (CMV)"
465,Felodipine,https://oehha.ca.gov/chemicals/felodipine,[],Drug; a dihydropyridine calcium channel blocking agent; lowers blood pressure
466,Fenbutatin oxide,https://oehha.ca.gov/chemicals/fenbutatin-oxide,[],Acaracide
467,Fenoxaprop Ethyl,https://oehha.ca.gov/chemicals/fenoxaprop-ethyl,['03/26/1999'],Herbicide
468,Fenoxycarb,https://oehha.ca.gov/chemicals/fenoxycarb,['06/02/2000'],Insecticide
469,Fenpropathrin,https://oehha.ca.gov/chemicals/fenpropathrin,[],"Insecticide-Miticide
 "
470,Filgrastim,https://oehha.ca.gov/chemicals/filgrastim,['02/27/2001'],"Medicine (treatment for neutropenia, increase number of hematopoietic stem cells in blood prior to collection)"
471,Fluazifop Butyl,https://oehha.ca.gov/chemicals/fluazifop-butyl,['11/06/1998'],Herbicide
472,Flunisolide,https://oehha.ca.gov/chemicals/flunisolide,"['05/15/1998', '05/15/1998']",Medicine (corticosteroid)
473,Fluoride,https://oehha.ca.gov/chemicals/fluoride,[],"Medicine (prevent bone loss); result of sulfuryl fluoride (pesticide, fumigant) decay. Compounds may be used as metal treatment, glass etching, aluminum smelting, pesticides, chemical synthesis, dental care products, or municipal public health water additive (prevents tooth decay)."
474,Fluorouracil,https://oehha.ca.gov/chemicals/fluorouracil,['01/01/1989'],Medicine (chemotherapy)
475,Fluoxymesterone,https://oehha.ca.gov/chemicals/fluoxymesterone,['04/01/1990'],Medicine (anabolic steroid with strong androgenic properties)
476,Flurazepam Hydrochloride,https://oehha.ca.gov/chemicals/flurazepam-hydrochloride,['10/01/1992'],Medicine (benzodiazepine hypnotic)
477,Flurbiprofen,https://oehha.ca.gov/chemicals/flurbiprofen,"['08/20/1999', '08/20/1999']",Medicine (NSAID)
478,Flutamide,https://oehha.ca.gov/chemicals/flutamide,['07/01/1990'],Medicine (treatment for prostate cancer)
479,Fluticasone Propionate,https://oehha.ca.gov/chemicals/fluticasone-propionate,['05/15/1998'],"Medicine (antiallergic, anti-inflammatory)"
480,Fluvalinate,https://oehha.ca.gov/chemicals/fluvalinate,['11/06/1998'],Insecticide
481,Fluvastatin sodium,https://oehha.ca.gov/chemicals/fluvastatin-sodium,[],Medication for the treatment of high blood cholesterol (hypercholesterolemia)
482,Folpet,https://oehha.ca.gov/chemicals/folpet,['01/01/1989'],"Formerly used as fungicide, wood surface treatment, paint additive. Use in the US ended by 2000."
483,Formaldehyde,https://oehha.ca.gov/chemicals/formaldehyde,['01/01/1988'],"Disinfectant (antibacterial, fungicide), tissue fixative, photography (color negative stabilizer), textile treatment; precursor to polyfunctional alcohols; production of urea and melamine resins, phenolic resin, plastics, adhesives, preservatives, pressed wood products, automobile components; byproduct of combustion, component of tobacco smoke"
484,Formamide,https://oehha.ca.gov/chemicals/formamide,[],"Manufacture of formic esters and hydrocyanic acid by catalytic dehydration. Intermediate in organic synthesis. Softener for paper, animal glues, water soluble glues. Intermediate in the chemical industry; used for producing heterocyclic compounds, pharmaceuticals, crop protection agents, fungicides, and pesticides; used as a solvent in the manufacture and processing of plastics; to produce formic acid; used to remove coating from copper conductors; used in the spinning of acrylonitrile copolymers; employed in the antistatic finishing of plastics or formation of conductive coatings on plastic particles"
485,Fumonisin B1,https://oehha.ca.gov/chemicals/fumonisin-b1,['11/14/2003'],Produced by fungus Fusarium moniliforme
486,Furaltadone,https://oehha.ca.gov/chemicals/furaltadone,['04/01/1988'],"Medicine (antibacterial), veterinary medicine"
487,Furan,https://oehha.ca.gov/chemicals/furan,['10/01/1993'],"Chemical intermediate; solvent for resins, production of lacquers, agricultural chemicals, stabilizers, and pharmaceuticals"
488,Furathiazole,https://oehha.ca.gov/chemicals/furathiazole,['04/01/1988'],"Veterinary medicine (analgesic, anti-inflammatory agent); no reported production or use in the US."
489,Furazolidone,https://oehha.ca.gov/chemicals/furazolidone,['01/01/1990'],"Medicine (antibacterial), veterinary medicine"
490,Furfural,https://oehha.ca.gov/chemicals/furfural,[],"Chemical intermediate; solvent in petroleum refining and other industries; constituent of rubber cement; weed killer, fungicide; flavoring agent"
491,Furfuryl Alcohol,https://oehha.ca.gov/chemicals/furfuryl-alcohol,['09/30/2016'],"Used to produce furan resins, as a chemical intermediate in the synthesis of other chemicals, and as a solvent in textile printing and alkaline paint strippers."
492,Furidiazine,https://oehha.ca.gov/chemicals/furidiazine,['07/01/1987'],"Medicine (antimicrobial), veterinary medicine, conservation. Production of cosmetics and synthetic textiles"
493,Furmecyclox,https://oehha.ca.gov/chemicals/furmecyclox,['01/01/1990'],"Fungicide, wood preservative"
494,Furylfuramide,https://oehha.ca.gov/chemicals/furylfuramide,['07/01/1987'],"Former antimicrobial food additive, used in Japan from 1965 until 1974."
495,Fusarin C,https://oehha.ca.gov/chemicals/fusarin-c,['07/01/1995'],Produced by Fusarium fungi
496,Gallium Arsenide,https://oehha.ca.gov/chemicals/gallium-arsenide,['08/01/2008'],"Electronic applications such as in transistors, microprocessors, high efficiency solar cells, diodes"
497,Ganciclovir,https://oehha.ca.gov/chemicals/ganciclovir,"['08/26/1997', '08/26/1997', '08/26/1997']",Medicine (antiviral used for cytomegalovirus)
498,Ganciclovir Sodium,https://oehha.ca.gov/chemicals/ganciclovir-sodium,"['08/26/1997', '08/26/1997']",Medicine (antiviral)
499,Gasoline engine exhaust (condensates/extracts),https://oehha.ca.gov/chemicals/gasoline-engine-exhaust-condensatesextracts,['10/01/1990'],[]
500,Gemfibrozil,https://oehha.ca.gov/chemicals/gemfibrozil,"['12/22/2000', '08/20/1999', '08/20/1999']",Medicine (serum lipid regulating agent)
501,Gentian Violet,https://oehha.ca.gov/chemicals/gentian-violet,['11/23/2018'],"Dye, antibacterial, antifungal."
502,Glass wool fibers (inhalable and biopersistent),https://oehha.ca.gov/chemicals/glass-wool-fibers-inhalable-and-biopersistent,['07/01/1990'],"Thermal insulation, soundproofing, marine vehicle and installation construction"
503,Glu-P-1 (2-Amino-6-methyldipyrido[1-2-a:3'-2'-d]imidazole),https://oehha.ca.gov/chemicals/glu-p-1-2-amino-6-methyldipyrido1-2-a3-2-dimidazole,['01/01/1990'],Found in cooked food as byproduct of browning reaction; component of tobacco smoke
504,"Glu-P-2 (2-Aminodipyrido[1,2-a:3',2'-d]imidazole)",https://oehha.ca.gov/chemicals/glu-p-2-2-aminodipyrido12-a32-dimidazole,['01/01/1990'],Found in cooked food as byproduct of browning reaction; component of tobacco smoke
505,Glutaraldehyde,https://oehha.ca.gov/chemicals/glutaraldehyde,[],"Disinfectant, biocide, tissue fixative, medicine (wart treatment); component of hydraulic fracturing (fracking) fluid"
506,Glycidaldehyde,https://oehha.ca.gov/chemicals/glycidaldehyde,['01/01/1988'],Processing wool and leather; manufacture of surgical sutures
507,Glycidol,https://oehha.ca.gov/chemicals/glycidol,['07/01/1990'],"Stabilizer for vinyl polymers, diluent for expoxy resins; chemical intermediate in synthesis of pharmaceuticals; additive in lubricating oil and synthetic hydraulic fluids"
508,Glyphosate,https://oehha.ca.gov/chemicals/glyphosate,['07/07/2017'],Herbicide
509,Goldenseal root powder,https://oehha.ca.gov/chemicals/goldenseal-root-powder,['12/04/2015'],Used as a dietary supplement to treat a variety of digestive and haemorrhagic disorders.
510,Goserelin Acetate,https://oehha.ca.gov/chemicals/goserelin-acetate,"['08/26/1997', '08/26/1997', '08/26/1997']",Medicine (antineoplastic)
511,Griseofulvin,https://oehha.ca.gov/chemicals/griseofulvin,['01/01/1990'],Medicine (antifungal)
512,Gross Alpha Particle Activity,https://oehha.ca.gov/chemicals/gross-alpha-particle-activity,[],"The documents provide some perspective on the carcinogenic potency of the radionuclides included in the categories of gross alpha and gross beta, at the screening levels of 15 pCi/L for gross alpha and 50 pCi/L for gross beta/photon emission. We have not suggested Public Health Goals (PHGs) corresponding to these screening levels, since the screening levels are by definition analytical tools, not final regulatory limits."
513,Gross Beta Particle Activity,https://oehha.ca.gov/chemicals/gross-beta-particle-activity,[],"The documents provide some perspective on the carcinogenic potency of the radionuclides included in the categories of gross alpha and gross beta, at the screening levels of 15 pCi/L for gross alpha and 50 pCi/L for gross beta/photon emission. We have not suggested Public Health Goals (PHGs) corresponding to these screening levels, since the screening levels are by definition analytical tools, not final regulatory limits."
514,Gyromitrin,https://oehha.ca.gov/chemicals/gyromitrin,['01/01/1988'],Naturally occurring in several mushrooms of the genus Gyromitra. Hydrolyzed in the body to form methylhydrazine (MMH).
515,Halazepam,https://oehha.ca.gov/chemicals/halazepam,['07/01/1990'],"Medicine (sedative-hypnotic, tranquilizing agent)"
516,Halobetasol Propionate,https://oehha.ca.gov/chemicals/halobetasol-propionate,['08/20/1999'],Medicine (corticosteroid)
517,Haloperidol,https://oehha.ca.gov/chemicals/haloperidol,"['01/29/1999', '01/29/1999']",Medicine (antipsychotic)
518,Halothane,https://oehha.ca.gov/chemicals/halothane,['09/01/1996'],"Former anesthetic, phased out during the 1980s and 1990s"
519,HC Blue 1,https://oehha.ca.gov/chemicals/hc-blue-1,['07/01/1989'],"Former hair dye, late 1960s to mid-1980s"
520,Heptachlor,https://oehha.ca.gov/chemicals/heptachlor,"['07/01/1988', '08/20/1999']",Previously used as an insecticide; since 1988 use is restricted to controlling fire ants in underground transformers.
521,Heptachlor Epoxide,https://oehha.ca.gov/chemicals/heptachlor-epoxide,['07/01/1988'],Insecticide; degradation product of heptachlor. Commercial sale in the US banned in 1988; use restricted to control of fire ants in power transformers.
522,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",https://oehha.ca.gov/chemicals/1234678-heptachlorodibenzo-p-dioxin,[],"Found in smoke emissions, byproduct of chemical synthesis"
523,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",https://oehha.ca.gov/chemicals/1234678-heptachlorodibenzofuran,[],"Found in smoke emissions, byproduct of chemical synthesis"
524,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",https://oehha.ca.gov/chemicals/1234789-heptachlorodibenzofuran,[],"Found in smoke emissions, byproduct of chemical synthesis"
525,Herbal remedies containing plant species of the genus Aristolochia,https://oehha.ca.gov/chemicals/herbal-remedies-containing-plant-species-genus-aristolochia,['07/09/2004'],[]
526,Hexachlorobenzene,https://oehha.ca.gov/chemicals/hexachlorobenzene,"['10/01/1987', '01/01/1989']","Byproduct formed in manufacture of solvents and pesticides. Formerly used as fungicide, pesticide, wood preservative, and in production of rubber, aluminum, and dyes. Not currently produced or used in the US."
527,Hexachlorobutadiene,https://oehha.ca.gov/chemicals/hexachlorobutadiene,['05/03/2011'],"Solvent, scrubber, mulling agent; diminishing use as algicide and herbicide"
528,Hexachlorocyclohexane (Technical Grade),https://oehha.ca.gov/chemicals/hexachlorocyclohexane-technical-grade,['10/01/1987'],"Insecticide containing gamma-HCH (lindane) as well as alpha, beta, delta, and epsilon forms of HCH. Technical grade HCH has not been produced on used in the US in over 20 years."
529,Hexachlorocyclohexane- Alpha Isomer,https://oehha.ca.gov/chemicals/hexachlorocyclohexane-alpha-isomer,[],Byproduct of lindane production; component of technical grade lindane (former insecticide). Not produced or used in the US since 1985.
530,Hexachlorocyclohexane- Beta Isomer,https://oehha.ca.gov/chemicals/hexachlorocyclohexane-beta-isomer,[],Byproduct of lindane production; component of technical grade lindane (former insecticide). Not produced or used in the US since 1985.
531,Hexachlorocyclohexane- Gamma Isomer,https://oehha.ca.gov/chemicals/hexachlorocyclohexane-gamma-isomer,[],"Insecticide, miticide. Agricultural use in the US ended 2007; the Stockholm Convention (2009) banned production and agricultural use, but pharmaceutical use is allowed until 2015. Pharmaceutical uses have been banned in California since 2002."
